Well,Plate,Compound,Concentration,Replicate,t_0,t_2.08,t_4.16,t_6.24,t_8.32,t_10.4,t_12.48,MIC,Smiles
B16,111-DR1,Z999961704,0.781,E,0,0.176180521200709,0.510668177393358,0.635781880854731,0.758342243429137,0.873242583342642,0.977929559708281,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
B17,111-DR1,Z999961704,0.2,E,0,0.173627180313742,0.515774859167292,0.656208607950465,0.783875652298805,0.893669310438377,1.00090962769098,Inactive,CC1=CC=C(C)N1C2CCN(CC2)C(=O)C3=C(C)OC(C)=C3S(=O)(=O)N
B18,111-DR1,Z194258546,50,E,0,0.186393884748576,0.54896829069786,0.689402039481034,0.81962242471634,0.934522764629845,1.03920974099548,Inactive,[O-][N+](=O)C=1C=CC=C(COC(=O)COC=2C=CC=C(C2)N3CCCC3=O)C1
B19,111-DR1,Z194258546,12.5,E,0,0.165967157652841,0.515774859167292,0.668975312385299,0.799195697620605,0.919202719308045,1.02899637744762,Inactive,[O-][N+](=O)C=1C=CC=C(COC(=O)COC=2C=CC=C(C2)N3CCCC3=O)C1
B20,111-DR1,Z194258546,3.13,E,0,0.252780747809712,0.500454813845491,0.62812185819383,0.750682220768236,0.883455946890509,0.993249605030082,Inactive,[O-][N+](=O)C=1C=CC=C(COC(=O)COC=2C=CC=C(C2)N3CCCC3=O)C1
B21,111-DR1,Z194258546,0.781,E,0,0.181287202974642,0.515774859167292,0.656208607950465,0.771108947863971,0.893669310438377,0.998356286804015,Inactive,[O-][N+](=O)C=1C=CC=C(COC(=O)COC=2C=CC=C(C2)N3CCCC3=O)C1
B22,111-DR1,Z194258546,0.2,E,0,0.34214767885355,0.536201586263026,0.653655267063498,0.791535674959705,0.911542696647144,1.00856965035188,Inactive,[O-][N+](=O)C=1C=CC=C(COC(=O)COC=2C=CC=C(C2)N3CCCC3=O)C1
C03,111-DR1,Z295866338,50,D,0,0.109793658139572,0.191500566522509,0.209373952731277,0.194053907409476,0.186393884748576,0.178733862087675,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
C04,111-DR1,Z295866338,12.5,D,0,0.155753794104974,0.423854587236487,0.518328200054259,0.543861608923926,0.55662831335876,0.55662831335876,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
C05,111-DR1,Z295866338,3.13,D,0,0.163413816765875,0.505561495619425,0.617908494645963,0.727702152785535,0.829835788264207,0.931969423742878,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
C06,111-DR1,Z295866338,0.781,D,0,0.181287202974642,0.510668177393358,0.658761948837432,0.771108947863971,0.878349265116576,0.975376218821314,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
C07,111-DR1,Z295866338,0.2,D,0,0.176180521200709,0.520881540941225,0.681742016820133,0.801749038507572,0.924309401081978,1.03410305922155,50,CCN1C=C(C(=O)O)C(=O)C=2C=C(F)C(=CC12)N3CCN(CC3)C4CC(=O)N(C)C4=O
C08,111-DR1,Z373002190,50,D,0,0.201713930070376,0.54130826803696,0.671528653272266,0.796642356733639,0.906436014873211,1.01878301389975,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
C09,111-DR1,Z373002190,12.5,D,0,0.186393884748576,0.518328200054259,0.663868630611366,0.786428993185771,0.906436014873211,1.01878301389975,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
C10,111-DR1,Z373002190,3.13,D,0,0.188947225635543,0.510668177393358,0.656208607950465,0.771108947863971,0.886009287777476,0.990696264143115,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
C11,111-DR1,Z373002190,0.781,D,0,0.196607248296443,0.54130826803696,0.6766353350462,0.804302379394539,0.931969423742878,1.04686976365638,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
C12,111-DR1,Z373002190,0.2,D,0,0.188947225635543,0.515774859167292,0.666421971498332,0.791535674959705,0.901329333099277,1.00856965035188,Inactive,CN(CC1=CC=C(C)O1)C2=NC(=NC(=N2)N3CCCC3)N4CCCC4
C13,111-DR1,Z339892772,50,D,0,0.160860475878908,0.454494677880089,0.605141790211129,0.689402039481034,0.776215629637904,0.857922538020842,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
C14,111-DR1,Z339892772,12.5,D,0,0.191500566522509,0.495348132071557,0.640888562628664,0.717488789237668,0.81962242471634,0.919202719308045,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
C15,111-DR1,Z339892772,3.13,D,0,0.191500566522509,0.474921404975823,0.615355153758997,0.727702152785535,0.829835788264207,0.937076105516812,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
C16,111-DR1,Z339892772,0.781,D,0,0.196607248296443,0.487688109410657,0.597481767550229,0.712382107463735,0.81962242471634,0.939629446403779,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
C17,111-DR1,Z339892772,0.2,D,0,0.191500566522509,0.528541563602126,0.653655267063498,0.781322311411838,0.896222651325343,1.00856965035188,Inactive,CNS(=O)(=O)C=1C=CC(CNC(=O)NC=2C=C(C)ON2)=CC1
C18,111-DR1,Z24763818,50,D,0,0.183840543861609,0.503008154732458,0.623015176419897,0.730255493672502,0.832389129151174,0.924309401081978,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
C19,111-DR1,Z24763818,12.5,D,0,0.196607248296443,0.508114836506391,0.617908494645963,0.735362175446436,0.845155833586008,0.949842809951646,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
C20,111-DR1,Z24763818,3.13,D,0,0.186393884748576,0.525988222715159,0.661315289724399,0.796642356733639,0.911542696647144,1.02133635478672,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
C21,111-DR1,Z24763818,0.781,D,0,0.176180521200709,0.518328200054259,0.663868630611366,0.799195697620605,0.914096037534111,1.02133635478672,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
C22,111-DR1,Z24763818,0.2,D,0,0.191500566522509,0.525988222715159,0.668975312385299,0.794089015846672,0.903882673986244,1.01367633212582,Inactive,CC=1C=CC(OCC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)=C(N1)[N+](=O)[O-]
