"","Well","Replicate","Compound","t_0","t_6","t_12","Smiles","Plate_ID","Concentration"
"104","J24","OD_A","DMSO",0,0.476356347146003,1.05050770595774,"","1886318-Y12-A082",50
"105","K01","OD_A","DMSO",0,0.599388781177089,1.10098255068844,"","1886318-Y12-A082",50
"106","K02","OD_A","DMSO",0,0.552068614242056,1.02527028359239,"","1886318-Y12-A082",50
"107","K23","OD_A","Ciprofloxacin",0.00315467779566889,0.00315467779566889,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"108","K24","OD_A","DMSO",0,0.4258815024153,0.990568827840032,"","1886318-Y12-A082",50
"109","L01","OD_A","DMSO",0,0.51105780289836,1.03157963918373,"","1886318-Y12-A082",50
"110","L02","OD_A","DMSO",0,0.561532647629063,1.02527028359239,"","1886318-Y12-A082",50
"111","L23","OD_A","Ciprofloxacin",0.00630935559133776,0.00315467779566887,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"112","L24","OD_A","DMSO",0,0.479511024941671,1.04735302816207,"","1886318-Y12-A082",50
"113","M01","OD_A","DMSO",0,0.612007492359765,1.14830271762348,"","1886318-Y12-A082",50
"114","M02","OD_A","DMSO",0,0.507903125102691,0.959022049883343,"","1886318-Y12-A082",50
"115","M23","OD_A","Ciprofloxacin",0,0.00630935559133779,0.00315467779566889,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"116","M24","OD_A","DMSO",0,0.561532647629063,1.09467319509711,"","1886318-Y12-A082",50
"117","N01","OD_A","DMSO",0,0.599388781177089,1.18931352896717,"","1886318-Y12-A082",50
"118","N02","OD_A","DMSO",0,0.536295225263711,1.00634221681838,"","1886318-Y12-A082",50
"119","N23","OD_A","Ciprofloxacin",0.00315467779566889,0.00315467779566889,0,"1CNCCN1c(c2)c(F)cc3c2N(C4CC4)C=C(C3=O)C(=O)O","1886318-Y12-A082",50
"120","N24","OD_A","DMSO",0,0.545759258650718,1.11675593966679,"","1886318-Y12-A082",50
"121","O01","OD_A","DMSO",0,0.589924747790083,1.14199336203214,"","1886318-Y12-A082",50
